scope,label,lead_h,n,bias_m,rmse_m,corr
pooled,all,24,5088,515.5096677886503,1029.2066244836528,0.7073464712785289
pooled,all,48,5088,460.8103013103184,954.9990697132747,0.7170291354927628
pooled,all,72,5088,485.8826831835571,954.243893872099,0.7530561409367073
pooled,all,96,5088,404.59185889980796,859.707646475555,0.7497645345835195
city,bangalore,24,512,328.7152913468018,685.131135637497,0.7802368021398544
city,bangalore,48,512,378.7553554591981,821.6245513634814,0.7376983726661123
city,bangalore,72,512,371.73113743844607,854.4511570418214,0.7398082364723645
city,bangalore,96,512,352.3031151180421,824.6246230588262,0.7593647807559135
city,chennai,24,256,46.929629006958024,184.7629077008991,0.7733588051772009
city,chennai,48,256,15.012624154510508,105.6269837731749,0.8930552180011223
city,chennai,72,256,-24.328029284210203,209.9622159102492,0.39719814119011226
city,chennai,96,256,-34.504011213989244,185.90174723360266,0.5152445647837816
city,delhi,24,2048,1096.0272169781495,1506.2540071151275,0.7318884314972575
city,delhi,48,2048,928.957972853241,1358.6745849533609,0.701388808214345
city,delhi,72,2048,993.1607624169617,1351.947660581498,0.8207518534418571
city,delhi,96,2048,793.327337961792,1193.3386520832444,0.747580678867789
city,kanpur,24,96,186.58102996789546,665.8649149733152,0.9092149203234836
city,kanpur,48,96,153.72994453732295,789.9567151205003,0.7800055220212428
city,kanpur,72,96,-39.43883481546021,661.3260779020866,0.6233797349526499
city,kanpur,96,96,166.45789609851076,794.7599258346701,0.8098460808511714
city,kolkata,24,480,182.27320503039556,345.9983681191038,0.49772735500450754
city,kolkata,48,480,206.28188656440634,346.86496993153577,0.607031327167746
city,kolkata,72,480,201.5792899032898,352.41708017159914,0.5504031821498037
city,kolkata,96,480,236.6782235360107,337.04022396093916,0.6944251065509731
city,lucknow,24,192,187.0094680928955,685.0996117131917,0.7444985146099798
city,lucknow,48,192,258.10575012065635,715.3852664611784,0.8189375255315713
city,lucknow,72,192,166.19127039287312,555.1137439841257,0.818269280870844
city,lucknow,96,192,169.3613049839274,682.1560871553138,0.8392647587887949
city,mumbai,24,1152,-19.849928610229483,214.25487292882053,0.7160511019905136
city,mumbai,48,1152,7.755525643225774,256.36608541371226,0.6387144178151926
city,mumbai,72,1152,20.52752042065091,190.07731446707595,0.7467960012271874
city,mumbai,96,1152,20.970669167955194,200.85871634742688,0.7400469296361529
city,patna,24,224,254.0196685527169,869.5852171125215,0.6834000324831958
city,patna,48,224,216.60378411321582,823.3351115068551,0.6015646315605906
city,patna,72,224,344.02663048811115,1049.0521030867335,0.4582657810049048
city,patna,96,224,230.60938859404652,884.3664241594101,0.4992515155992377
city,varanasi,24,128,176.49384359289553,798.2225745577758,0.8115751710031531
city,varanasi,48,128,183.96573009982296,727.8198602214164,0.8848075032251019
city,varanasi,72,128,222.5715629345398,660.1936755899594,0.883819305891833
city,varanasi,96,128,190.35337547351077,689.6054600558028,0.8787606508447283
season,monsoon,24,1272,853.128144788158,1288.141282634879,0.8568734398662436
season,monsoon,48,1272,676.2151139766208,1144.1793700129986,0.8089234712510762
season,monsoon,72,1272,802.4360091571629,1219.443556118865,0.8237684671239055
season,monsoon,96,1272,727.1943147724702,1155.1429143798318,0.7545723662827667
season,post-monsoon,24,1272,294.58822085854433,690.4441596528321,-0.012352710736137395
season,post-monsoon,48,1272,328.49350869425456,707.5529134290667,-0.07751217320748341
season,post-monsoon,72,1272,264.86202138971527,552.9334449683781,-0.06967483288978595
season,post-monsoon,96,1272,185.85648620955712,497.5071806167829,-0.07752290417088932
season,pre-monsoon,24,1272,813.935873461796,1404.13556196725,0.3884422284571905
season,pre-monsoon,48,1272,657.127063592084,1254.574946318506,0.501514497098709
season,pre-monsoon,72,1272,670.3327800868749,1228.8471873815893,0.6787957091603645
season,pre-monsoon,96,1272,529.336379992923,1060.1389786144596,0.6616401406589524
season,winter,24,1272,100.38643204610268,359.7878896184778,0.863058583260776
season,winter,48,1272,181.40551897831372,514.1566304322982,0.8164823484578376
season,winter,72,1272,205.89992210047538,582.6510490067606,0.7040372038533554
season,winter,96,1272,175.9802546242814,500.6253571776506,0.7865254616507552
