scope,label,window_end_h,feature_set,n,events,auc,best_csi
pooled,all,all,current,18934,2167,0.9271126076671414,0.4761456371625863
pooled,all,all,+ERA5 3-hour boundary layer,18934,2167,0.9714570523565349,0.6764705882352942
pooled,all,all,+GFS forecast boundary layer,18934,2167,0.9607189683495299,0.6381164256581386
city,bangalore,all,too few events,1896,0,,
city,chennai,all,too few events,1082,5,,
city,delhi,all,current,8511,1974,0.9279730887339297,0.6116358141292029
city,delhi,all,+GFS forecast boundary layer,8511,1974,0.9575190339644071,0.7049855789039967
city,lucknow,all,current,1060,16,0.8269875478927203,0.06467661691542288
city,lucknow,all,+GFS forecast boundary layer,1060,16,0.7917265325670498,0.05737704918032787
city,mumbai,all,current,4992,61,0.6203676306804392,0.024553571428571428
city,mumbai,all,+GFS forecast boundary layer,4992,61,0.6951438041696726,0.1
city,patna,all,current,1393,111,0.7451722393220053,0.15949367088607594
city,patna,all,+GFS forecast boundary layer,1393,111,0.8531398012677264,0.2603305785123967
window_end,+24h,24,current,2846,355,0.9042055625604288,0.47288503253796094
window_end,+24h,24,+ERA5 3-hour boundary layer,2846,355,0.9658409711581412,0.6390243902439025
window_end,+24h,24,+GFS forecast boundary layer,2846,355,0.9491261499143395,0.6
window_end,+48h,48,current,2687,308,0.930298526610002,0.4574712643678161
window_end,+48h,48,+ERA5 3-hour boundary layer,2687,308,0.9776432583809633,0.7048346055979644
window_end,+48h,48,+GFS forecast boundary layer,2687,308,0.9693107439009079,0.6476964769647696
window_end,+72h,72,current,2666,284,0.9436553198282897,0.553475935828877
window_end,+72h,72,+ERA5 3-hour boundary layer,2666,284,0.9725331417556556,0.6888888888888889
window_end,+72h,72,+GFS forecast boundary layer,2666,284,0.9598595983964239,0.6424581005586593
window_end,+96h,96,current,2547,257,0.9256189149236232,0.4482758620689655
window_end,+96h,96,+ERA5 3-hour boundary layer,2547,257,0.9703192700457071,0.7038216560509554
window_end,+96h,96,+GFS forecast boundary layer,2547,257,0.9620027866039115,0.6823899371069182
